CFD_Id,BMU_Id,Effective_From,Effective_date_to
"AAA-ACH-183","C__PSMAR001",2018-06-16 00:00:00.0000000,
"AAA-BAD-185","T_BDCHW-1",2018-12-01 00:00:00.0000000,
"AAA-BAN-189","T_KPMRW-1",2018-10-12 00:00:00.0000000,
"AAA-BAN-190","C__FCMRO003",2025-03-01 00:00:00.0000000,
"AAA-BAN-190","C__FENRG003",2022-12-01 00:00:00.0000000,2025-02-28 00:00:00.0000000
"AAA-BAN-190","C__FMAGN003",2018-01-02 00:00:00.0000000,2024-03-20 00:00:00.0000000
"AAA-BAN-192","C__NMAGN007",2018-11-19 00:00:00.0000000,2024-03-20 00:00:00.0000000
"AAA-BAN-192","T_MIDMW-1",2018-07-13 00:00:00.0000000,
"AAA-BRE-177","C__DSMAR010",2019-03-20 00:00:00.0000000,
"AAA-BRE-177","C__DSPOW010",2019-03-20 00:00:00.0000000,
"AAA-CAM-197","C__AAXPO002",2017-04-27 00:00:00.0000000,2023-12-07 00:00:00.0000000
"AAA-CAM-197","C__ACMRO002",2024-11-20 00:00:00.0000000,
"AAA-CAM-197","C__AIMPO002",2023-12-08 00:00:00.0000000,2024-11-19 00:00:00.0000000
"AAA-CAM-197","C__ALOND002",2017-04-01 00:00:00.0000000,2017-04-26 00:00:00.0000000
"AAA-CLO-186","C__DEDGE014",2020-02-01 00:00:00.0000000,
"AAA-CLO-186","C__DNATP014",2019-10-23 00:00:00.0000000,2020-01-31 00:00:00.0000000
"AAA-COI-196","C__PIMPO008",2019-01-23 00:00:00.0000000,
"AAA-COI-196","E_CNCLW-1",2018-12-14 00:00:00.0000000,
"AAA-COM-191","C__AOXPO009",2019-02-20 00:00:00.0000000,
"AAA-COM-191","C__ASTAT009",2019-02-20 00:00:00.0000000,
"AAA-DOR-182","T_DOREW-1",2018-08-14 00:00:00.0000000,
"AAA-DOR-182","T_DOREW-2",2018-08-14 00:00:00.0000000,
"AAA-ENE-171","C__MRWED005",2018-11-14 00:00:00.0000000,
"AAA-K3C-180","C__JVETS001",2019-12-01 00:00:00.0000000,
"AAA-LIG-176","C__DAXPO001",2016-06-23 00:00:00.0000000,2023-05-31 00:00:00.0000000
"AAA-LIG-176","C__DTGPL001",2023-06-01 00:00:00.0000000,
"AAA-MYN-178","C__KEDGE004",2020-03-18 00:00:00.0000000,
"AAA-MYN-178","C__KNATP004",2018-12-14 00:00:00.0000000,2020-03-17 00:00:00.0000000
"AAA-NAN-184","C__PPURE011",2019-05-22 00:00:00.0000000,
"AAA-NAN-184","C__PSTAT011",2019-05-22 00:00:00.0000000,
"AAA-NEA-195","T_NNGAO-1",2024-12-01 00:00:00.0000000,
"AAA-NEA-195","T_NNGAO-2",2024-12-01 00:00:00.0000000,
"AAA-PNE-187","T_TRLGW-1",2020-08-02 00:00:00.0000000,
"AAA-SNE-179","C__NRWED014",2024-03-20 00:00:00.0000000,
"AAA-SOL-181","C__NVETS013",2020-06-01 00:00:00.0000000,
"AAA-SOL-181","E_SWBKW-1",2020-09-01 00:00:00.0000000,
"AR2-HRN-106","T_HOWBO-1",2022-02-04 00:00:00.0000000,
"AR2-HRN-206","T_HOWBO-3",2022-02-04 00:00:00.0000000,
"AR2-HRN-306","T_HOWBO-2",2022-02-04 00:00:00.0000000,
"AR2-MRY-107","T_MOWEO-1",2021-12-01 00:00:00.0000000,
"AR2-MRY-107","T_MOWEO-2",2021-12-01 00:00:00.0000000,
"AR2-MRY-107","T_MOWEO-3",2021-12-01 00:00:00.0000000,
